path	owner	role	disposition
packages/create-wp-project/src/generators/jsTest.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/license.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/mcpAbilities.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/phpFramework.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/phpTest.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/phpUnitDocker.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/restBatch.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/docker-phpunit/.gitignore	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/docker-phpunit/README.md	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/docker-phpunit/docker-compose.yml	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/docker-phpunit/env.example	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/docker-phpunit/run-phpunit.sh	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/docker-phpunit/teardown.sh	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/docker-phpunit/wp-tests-config.php.template	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/e2e/.wp-env.json	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/e2e/playwright.config.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/e2e/tests/e2e/config/global-setup.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/e2e/tests/e2e/specs/admin-smoke.spec.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/templates/e2e/tests/e2e/specs/frontend-smoke.spec.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/generators/vendorScoping.js	kit-proprietary	consumer-wiring	temporary-compat
packages/create-wp-project/src/index.js	kit-proprietary	support	migrate
packages/create-wp-project/src/json-utils.js	kit-proprietary	support	migrate
packages/create-wp-project/src/kit-status.js	kit-proprietary	support	migrate
packages/create-wp-project/src/manifest.js	kit-proprietary	support	migrate
packages/create-wp-project/src/migrations/0.2.0.js	kit-proprietary	support	migrate
packages/create-wp-project/src/migrations/0.3.0.js	kit-proprietary	support	migrate
packages/create-wp-project/src/migrations/0.4.0.js	kit-proprietary	support	migrate
packages/create-wp-project/src/migrations/1.0.0.js	kit-proprietary	support	migrate
packages/create-wp-project/src/migrations/2.0.0.js	kit-proprietary	support	migrate
packages/create-wp-project/src/migrations/2.1.0.js	kit-proprietary	support	migrate
packages/create-wp-project/src/migrations/2.2.0.js	kit-proprietary	support	migrate
packages/create-wp-project/src/migrations/2.3.0.js	kit-proprietary	support	migrate
packages/create-wp-project/src/migrations/2.4.0.js	kit-proprietary	support	migrate
packages/create-wp-project/src/migrations/2.5.0.js	kit-proprietary	support	migrate
packages/create-wp-project/src/migrations/2.6.0.js	kit-proprietary	support	migrate
packages/create-wp-project/src/migrations/index.js	kit-proprietary	support	migrate
packages/create-wp-project/src/plan-update.js	kit-proprietary	support	migrate
packages/create-wp-project/src/presets.js	kit-proprietary	support	migrate
packages/create-wp-project/src/project-config-io.js	kit-proprietary	support	migrate
packages/create-wp-project/src/rector/rector-build.php	kit-proprietary	support	external-dependency
packages/create-wp-project/src/rector/rector-config.php	kit-proprietary	support	external-dependency
packages/create-wp-project/src/rector/rector-prefix.php	kit-proprietary	support	external-dependency
packages/create-wp-project/src/rector/rector-upgrade.php	kit-proprietary	support	external-dependency
packages/create-wp-project/src/refresh-glue.js	kit-proprietary	support	migrate
packages/create-wp-project/src/release/canonical-zip.js	kit-proprietary	consumer-release	migrate
packages/create-wp-project/src/release/module-loader-coexistence-gate.js	kit-proprietary	consumer-release	migrate
packages/create-wp-project/src/release/php-ast-transform.php	kit-proprietary	consumer-release	migrate
packages/create-wp-project/src/release/prepare-release.js	kit-proprietary	consumer-release	migrate
packages/create-wp-project/src/release/prepareComposer.js	kit-proprietary	consumer-release	migrate
packages/create-wp-project/src/release/private-runtime-assembler.js	kit-proprietary	consumer-release	migrate
packages/create-wp-project/src/release/releaseTests.js	kit-proprietary	consumer-release	migrate
packages/create-wp-project/src/release/resolve-profile-s-transformer.js	kit-proprietary	consumer-release	migrate
packages/create-wp-project/src/release/run-release.js	kit-proprietary	consumer-release	migrate
packages/create-wp-project/src/removeFeature.js	kit-proprietary	support	migrate
packages/create-wp-project/src/resolve-kit-paths.js	kit-proprietary	support	migrate
packages/create-wp-project/src/scaffold-cli.js	kit-proprietary	support	migrate
packages/create-wp-project/src/sync-php-min.js	kit-proprietary	support	migrate
packages/create-wp-project/src/templates/plugin/plugin-file.php.tpl	kit-proprietary	support	migrate
packages/create-wp-project/src/templates/plugin/readme.txt.tpl	kit-proprietary	support	migrate
packages/create-wp-project/src/update-cli.js	kit-proprietary	support	migrate
packages/create-wp-project/src/validate-config.js	kit-proprietary	support	migrate
packages/standalone-build/.gitignore	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/AGENTS.md	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/AGENT_MASTER_PROMPT_AND_PROJECT_HANDOFF.md	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/FIX_PLAN_PIPELINE.md	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/FULL_BUILD_OBFUSCATOR_AUDIT_AND_REMEDIATION.md	kit-proprietary	standalone-pipeline	migrate
